iter	Passed	Remaining
819	4145	909
820	4149	904
821	4153	899
822	4157	894
823	4161	888
824	4165	883
825	4169	878
826	4173	873
827	4177	867
828	4181	862
829	4185	857
830	4189	852
831	4193	846
832	4197	841
833	4201	836
834	4206	831
835	4210	825
836	4214	820
837	4218	815
838	4222	810
839	4226	805
840	4230	799
841	4233	794
842	4238	789
843	4242	784
844	4246	779
845	4252	774
846	4263	770
847	4269	765
848	4273	760
849	4277	754
850	4282	749
851	4286	744
852	4290	739
853	4294	734
854	4298	728
855	4303	723
856	4307	718
857	4311	713
858	4315	708
859	4319	703
860	4323	698
861	4327	692
862	4331	687
863	4335	682
864	4339	677
865	4344	672
866	4350	667
867	4354	662
868	4358	657
869	4362	651
870	4367	646
871	4371	641
872	4375	636
873	4379	631
874	4383	626
875	4387	621
876	4390	615
877	4394	610
878	4399	605
879	4403	600
880	4407	595
881	4412	590
882	4416	585
883	4420	580
884	4424	574
885	4428	569
886	4433	564
887	4438	559
888	4444	554
889	4448	549
890	4452	544
891	4456	539
892	4460	534
893	4464	529
894	4468	524
895	4472	519
896	4476	514
897	4480	508
898	4484	503
899	4488	498
900	4492	493
901	4497	488
902	4501	483
903	4505	478
904	4509	473
905	4514	468
906	4517	463
907	4521	458
908	4525	453
909	4529	448
910	4533	442
911	4537	437
912	4541	432
913	4546	427
914	4551	422
915	4555	417
916	4559	412
917	4563	407
918	4567	402
919	4571	397
920	4575	392
921	4579	387
922	4583	382
923	4587	377
924	4594	372
925	4599	367
926	4603	362
927	4608	357
928	4612	352
929	4615	347
930	4619	342
931	4623	337
932	4628	332
933	4631	327
934	4635	322
935	4640	317
936	4644	312
937	4648	307
938	4654	302
939	4661	297
940	4665	292
941	4668	287
942	4673	282
943	4677	277
944	4680	272
945	4684	267
946	4689	262
947	4693	257
948	4697	252
949	4701	247
950	4705	242
951	4709	237
952	4713	232
953	4718	227
954	4724	222
955	4728	217
956	4732	212
957	4735	207
958	4740	202
959	4743	197
960	4747	192
961	4751	187
962	4756	182
963	4760	177
964	4763	172
965	4767	167
966	4772	162
967	4776	157
968	4781	152
969	4785	147
970	4789	143
971	4793	138
972	4797	133
973	4801	128
974	4805	123
975	4808	118
976	4812	113
977	4816	108
978	4821	103
979	4825	98
980	4830	93
981	4834	88
982	4838	83
983	4842	78
984	4846	73
985	4850	68
986	4854	63
987	4858	59
988	4862	54
989	4866	49
990	4870	44
991	4874	39
992	4878	34
993	4882	29
994	4890	24
995	4895	19
996	4900	14
997	4904	9
998	4907	4
999	4911	0
